標題,連結,內文,來源,時間,圖片
(影) 廣東信宜一建橋梁中因暴雨垮塌遭疑豆腐渣工程當局：未造成人員傷亡| 中國,https://newtalk.tw/news/view/2025-05-19/971786,"最近中國廣東茂名信宜市多地暴雨，有網友發影片稱，信宜市北界鎮一處橋梁垮塌。
根據《極目新聞》今（19）日的報導，事故橋梁附近居民盧先生透露，18 日凌晨 2 時左右當地下起暴雨， 11 時左右雨才停。9 時許他在家聽到外面傳來聲音，察看後發現是附近一座橋被水沖垮。盧先生指出，政府有關部門後來有派人來察看，目前那邊已經封路了。
話題延燒：(影) 印巴戰機空中對陣影片曝光! 傳她一人打下2架印機 被封「巴鐵女神」
事發地周邊一名商戶告訴記者，那邊有一個綠道，平時有些人會去散步。但現在因為橋梁垮塌，大家都去不了了。
北界鎮政府應急管理辦公室工作人員聲稱，該橋梁此前處於在建狀態，尚未通車，此次垮塌沒有造成人員傷亡。
對此網友們紛紛留言說：「設計施工的問題，不要最終又歸為自然災害。」、「現在的暴雨真厲害，比什麼質檢驗收部門都厲害了。」、「相關部門要加以重視，舉一反三。避免類似質量問題再度發生。」、「這橋質量也太差了吧。」、「又是一個豆腐渣工程?」
最近中國廣東茂名信宜市北界鎮一處橋梁垮塌。   圖：翻攝自極目新聞
最近中國廣東茂名信宜市北界鎮一處橋梁垮塌。   圖：翻攝自極目新聞",Newtalk新聞,2025-05-19,https://images.newtalk.tw/resize_action2/800/album/news/972/682ae8c75b27d.png
台鐵全線班次調整一次看！ 花蓮暴雨癱瘓北迴線「柴聯車搶接駁」,https://newtalk.tw/news/view/2025-05-19/971659,"花蓮昨（18日）午後強降雨引發土石流，造成台鐵北迴線中斷。台鐵公司緊急搶修後，今（19日）凌晨完成東正線試運轉，並自首班車起以柴聯車於新城－和平間接駁，全線列車班次大幅調整，最新行車資訊一次掌握！
花蓮昨日下午4點多降下豪雨，導致台鐵和仁＝崇德西線發生土石流災情，泥流直接淹過軌道。由於該區段的東線原已因「東小清水溪橋工程」封閉，仰賴西線單線通車，但西線也因災情中斷，導致北迴線雙向交通癱瘓。
延燒焦點：今晨連4震！中南部高溫飆36度、各地慎防午後雷陣雨 週六鋒面接近
台鐵公司表示，為降低旅客衝擊，今（19日）凌晨1時緊急完成和仁＝崇德間東正線試運轉，確認路線安全無虞。今早起恢復新城－和平間運輸，但改以柴聯車編組接駁，並同步調整多班對號列車與區間列車行駛區段。
對號列車（台北 → 和平）
對號列車（花蓮、新城 → 台北）
對號列車（新城－花蓮－台東）
區間快車
特別接駁說明
以下列車今日停駛，旅客請改搭替代列車或公路接駁：
観光列車調整",Newtalk新聞,2025-05-19,https://images.newtalk.tw/resize_action2/800/album/news/972/682a8b4fab171.jpg
雲林虎尾潮拚完工 水利署、虎科大將共管,https://news.ltn.com.tw/news/Yunlin/paper/1707796,"水利署與國立虎尾科技大學簽署合作意向書。 （記者李文德攝）
〔記者李文德／雲林報導〕經濟部水利署在雲林縣虎尾鎮投入超過九億元經費，進行「虎尾潮計畫」工程，改善水環境，解決淹水問題，第一期工程預計九月完工。水利署昨與國立虎尾科技大學簽署合作意向書，未來將合作共同管理。
虎尾潮計畫主要優化水利工程及河水周邊空間地景、生態景觀，是全國首次採取國際競圖方式規劃的水利工程，計畫分成三期施作。第一期主要為北港溪虎尾堤段整體環境營造，占地廿六公頃，建置河濱運動平台、綠色大階梯、多功能大草坪等地景。第二、三期工程已發包，預計六、八月動工。
由於第一期工程延伸至虎科大體育場，更與校方合作推動「食農教育區」，水利署為強化人水關係、營造親水環境，副署長王藝峰、五河分署長吳明華、虎科大校長張信良、行政院雲嘉南聯合服務中心副執行長陳怡帆簽署合作意向書，未來將共同經營。
張信良表示，第一期完工啟用後，將結合校方資源及教研量能，提升整體水岸品質；王藝峰說，完工後圳路部分由五河分署管理，另外河川區域則由虎科大協助維護。
第一期工程整體占地約廿六公頃，未來將合作共同管理。 （記者李文德攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-05-21,https://img.ltn.com.tw/Upload/news/600/2025/05/21/148.jpg
埃及是尼羅河的贈禮【知定講堂 啟蒙論壇 藍弋丰】EP96,https://video.ltn.com.tw/article/ZHHq_9XxseE/PLI7xntdRxhw0WAtjar8mbBJH6nFzOOxRb,"藍弋丰先生為金鼎獎歷史作家，《橡皮推翻了滿清》《海角七號電影小說》作者，科技新報總監，播客「國際大事收藏版」主持人。
關於古埃及、古希臘歷史學家、有「歷史之父」之稱的希羅多德，有一句很精確地描述。埃及是尼羅河的贈禮。Egypt is the gift of the Nile。
為何說「埃及是尼羅河的贈禮」？
因為一方面、埃及幾無雨量，所有水源都來自尼羅河。
不論是飲用水、洗滌用水、灌溉用水、水力。
另一方面、尼羅河的氾濫非常規律，因為氾濫的時間可以準確預測。
因此古埃及人在氾濫季節前先遷離，避開洪水不會被大水沖走，等氾濫結束了再回來。洪水帶來了沃土沉積，所以收成還更好。
其他大河氾濫洪水改道難以預期。尼羅河為什麼特別規律？
這也跟地理因素、以及地球板塊運動有關。
#藍弋丰 #埃及 #尼羅河 #知定講堂 #啟蒙論壇
✴️敬請觀看並協助訂閱，按讚、留言、分享，以利影片推廣。
✴️以下為各社群平台使用之唯一官方帳號✴️
觀看Youtube頻道：https://www.youtube.com/@babujushi
Podcast 知定講堂：https://maac.io/2l0hP
----------------------------------------------------
我們的頻道➔ http://video.ltn.com.tw
YouTube➔ https://www.youtube.com/user/tvforltn
Dailymotion➔ https://www.dailymotion.com/LibertyTimes
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-05-15,
今年颱風不見了？直至5月未見生成！專家：下旬南海可能會有熱帶擾動| 生活,https://newtalk.tw/news/view/2025-05-20/971885,"時序已進入5月，今年西北太平洋及南海海域還未生過任何一個颱風，跟氣候統計平均值來相比，數量明顯偏少。林老師指出，今年5月初大氣環流開始調整，到了5月中高壓軸線又再度回歸，才會沒有颱風生成，但美國數值模擬5月下旬南海有熱帶擾動生成訊號，需持續觀察。
林老師說，統計過去67年的氣候資料顯示，5月份，西北太平洋及南海地區共有70個颱風生成，發生的頻率佔全年統計總數的4.0%；生成個數雖不算多，但與之前的1至4月相比，生成數量則有持續再增加的趨勢。再從颱風運動路徑圖來看，直接影響台灣的機會都不算太高，根據統計過去114年氣候資料，5月份的直接侵台颱風個數只有9次，數量也不是很多，這又與當時環境駛流場中的太平洋高壓強度還不夠強可能有關。
話題延燒：「四邊包繩不打洞」成網路新哏！故宮P圖跟進 律師笑問：參戰了嗎?
而今年5月初，大氣環流場開始進行調整重佈，太平洋高壓軸線西伸有提早反應的趨勢，不過，到了中、下旬，高壓軸線又再東退回歸，這將會直接回饋在未來可能生成的熱帶擾動的運動路徑上，且美國NCEP數值模式也模擬出5月下旬，在南海海域會有熱帶擾動生成的訊號，不確定性高，需觀察。
林老師指出，今年5月初大氣環流開始調整，到了5月中高壓軸線又再度回歸，才會沒有颱風生成，但美國數值模擬5月下旬南海有熱帶擾動生成訊號，需持續觀察。   圖：翻攝自林老師氣象站臉書",Newtalk新聞,2025-05-20,https://images.newtalk.tw/resize_action2/800/album/album/1/6723070eef10d.jpg
《台東》台東市國際地標 「小強」亂竄遊客驚,https://news.ltn.com.tw/news/life/paper/1706710,"台東海濱公園「國際地標」滿地蟑螂，發光源上更多。（民眾提供）
〔記者劉人瑋／台東報導〕台東海濱公園「國際地標」，在經過數個颱風摧殘後，今年三月安裝超過一萬顆LED燈，本想改善原本殘破的形象，成為夜間熱門打卡點，近日卻被民眾發現，蟑螂密密麻麻到處爬，或漫天飛舞、甚至撲身嚇得遊客倉皇而逃。縣府表示，可能因天氣溼熱加上燈光引誘所致，將派員加強環境清消。
許多遊客從國際地標步道登頂後，腳邊成群小蟲隨燈光愈強、愈看清竟是蟑螂滿地爬，甚至飛到遊客身上，驚呼連連，小孩子們拔腿就跑，有女遊客走路變成跳躍，就是想避開蟑螂，國際地標頂部光源更多，蟑螂漫天飛舞。
請繼續往下閱讀...
許多遊客拿出手機錄影、拍照，現場幾名婦女帶著小孩在附近吃消夜，即使蟑螂偶爾爬上身也若無其事撥開，她們說，不要爬到食物內就好。
台東縣府交通及觀光管理處長卜敏正說明，因近來天氣炎熱潮溼等季節因素造成蟑螂出沒，光源又吸引蟑螂前來，會請專人排除、整理，希望能讓更多遊客能安心前來觀光。
市民代表蔡政家指出，出沒的是美洲、澳洲蟑螂多存在水溝中，研判是近日傍晚下大雨，逼出溝中蟑螂。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-05-15,https://img.ltn.com.tw/Upload/news/600/2025/05/15/40.jpg
《花蓮》疊石藝術季週六登場 七星潭添美景,https://news.ltn.com.tw/news/life/paper/1706822,"花蓮太平洋國際疊石藝術季將於後天登場，目前七星潭大部分作品都已經完成，今天將最後收尾。（記者花孟璟攝）
〔記者花孟璟／花蓮報導〕花蓮縣新城鄉七星潭海灘以美麗的鵝卵石海灘著稱，大大小小的鵝卵石每一顆都有獨特的紋路，海洋委員會、新城鄉公所去年首辦七星潭疊石藝術節獲好評，今年加入花蓮縣府觀光處共同舉辦「太平洋國際疊石藝術季」，將在週六開幕，除了欣賞國內外藝術家的創作作品，現場也舉辦親子疊石挑戰、美食市集！
到七星潭看海、聽海，享受潮水拍擊鵝卵石海灘後，石頭和石頭們與海浪一起滾動的聲響，是最迷人的花蓮風景線，去年康芮颱風過境曾讓東海岸到處堆置漂流木，也加入今年疊石藝術節成為重要的創作載體。
請繼續往下閱讀...
縣府觀光處長余明勳表示，今年的太平洋國際疊石藝術季擴大規模，邀請來自英國的James Brunt與Jon Foreman、瑞典的Pontus Jansson，及台灣藝術家馬耀、林立仁、了嘎．里外、黃裕榮與東華大學藝術與設計系教授蔡文慶師生團隊等八組專業藝術家，創作大型疊石地景藝術。
除了邀請藝術家創作，「疊石創作賽」也有廿組團隊報名，除了有來自桃園的上班族、東華大學學生、在地藝術愛好者組隊，還有來自馬來西亞與香港的兩位女大學生共同參賽，各自以熱情與創意堆疊出充滿巧思的圖騰意象，預計今天十五日會全部完成，十七日開幕，現場展出作品也將開放網路票選，最高人氣作品有二萬元獎金。
他說，藝術季將於後天十七日下午三點半在七星潭賞星廣場開幕，在海風及夕陽中欣賞花囍樂團、瑪大藝術恆舞集、比亞酥樂團、JELLY樂團等在地音樂、舞蹈團體輪番演出，也有美食及小農市集，更有親子疊石挑戰活動比賽「誰堆得高」，市集也將連續四個週六日舉辦，作品將展出直到颱風季。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-05-15,https://img.ltn.com.tw/Upload/news/600/2025/05/15/148.jpg
巴布亞紐幾內亞外海地震規模6.4 無海嘯警報,https://news.ltn.com.tw/news/world/breakingnews/5049524,"巴布亞紐幾內亞北部外海，今天發生規模6.4地震。（圖擷自USGS）
〔中央社〕根據美國地質調查所（USGS），巴布亞紐幾內亞北部外海今天發生規模6.4地震，這起地震沒有「引發海嘯警報」。
法新社報導，美國地質調查所表示，地震發生於距離巴布亞紐幾內亞安戈拉姆鎮（Angoram）約81公里處，地震深度10公里。美國地質調查所已修正稍早發布的地震規模、深度及距離。
請繼續往下閱讀...
巴布亞紐幾內亞位於地震活躍的「環太平洋火山帶」（Ring of Fire）上，地震頻繁發生。雖然地震在人煙稀少的地區很少造成大規模損害，但仍可能引發破壞性極大的山崩。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-05-21,https://img.ltn.com.tw/Upload/news/600/2025/05/21/phpSf8WVq.png
7月大地震預言 NHK點名從港台擴散謠言、中國使館的「提醒」加深不安,https://money.udn.com/money/story/5599/8741856?from=edn_newest_index,"二十幾年前的日本漫畫預言今年7月5日日本將發生毀滅性地震，香港部分飛日定期航班預防性減班。NHK上月調查這個「謠言」起自旅居日本的中國網紅在影片介紹這個都市傳說，去年底從中文圈、特別是以香港和台灣為主開始發酵。報導還說，4月14日中國駐日使館發布「提醒中國公民注意防範地震災害」，更讓港人認為網路傳言有憑有據，擴大不安。
NHK4月底報導，以「2025年7月」有關的日文影片至少1400支，合計觀看破1億次；內容包括會有隕石掉落、發生南海海槽大地震、火山爆發等，或者「是有其他的預言者所說」。影片從2023年左右增加，今年上架數急速變多。在TikTok有逾50支影片，觀看4千萬次以上。
報導說，這個沒有科學根據的謠言擴散到國外，去年底左右，以香港、台灣為中心擴散開來。繁體字的相關影片，在YouTube至少220支，合計5200萬次觀看數。當地媒體或是風水師說「最好4月也不要到日本」，3月緬甸中部大地震發生後，又增加泰國預言者的說法。在TikTok有英文、泰文、越文等相關影片，印度、印尼、英國、西班牙的網媒也報導此事。
NHK認為，中國駐日大使館在的「提醒」被香港媒體報導以後，擴大不安的情緒。中國使館官網發布聲明：「據日本媒體報導，3月31日，日本政府公布最新南海海槽大地震風險評估報告，將未來30年日本發生南海海槽大地震的概率從70%提升至80%，稱地震可能波及西起沖繩、東至福島的廣大區域，導致29.8萬人死亡，造成1.8萬億（兆）美元經濟損失。提醒旅日同胞防範地震災害。」聲明表示，綜合考慮有關因素，建議穩妥安排赴日旅遊、留學，慎重選擇購置房產等。",經濟日報,2025-05-15,https://uts.aralego.com/a/789f3ae9-791e-4d6d-8e74-7792f50b0396.png
曼谷大樓地震倒塌奪數十命 泰國法院發出逮捕令,https://money.udn.com/money/story/5599/8742909?from=edn_newestlist_rank,"泰國曼谷一座摩天大樓在一場地震中倒塌，造成數十名工人喪生。泰國法院今天針對17人發出逮捕令。
法新社報導，這棟樓高30層大樓原定為國家審計署辦公大樓，但在鄰國緬甸3月28日發生規模7.7強震後倒塌。
這是曼谷在這次地震中唯一倒塌的建築，倒塌速度之快以及發生之突然，引發外界對這棟大樓施工品質的質疑。
曼谷警察局長暹（Siam Boonsom）告訴法新社：「泰國法院今天針對涉及這次大樓倒塌事件的3個團體總計17人發出逮捕令。」
他未透露遭鎖定者的詳細身分，但當地媒體指出，其中包括義大利-泰國合作發展公司（Italian-ThaiDevelopment Plc，ITD）的員工。ITD是倒塌大樓的建築承包商之一。
當局表示，倒塌現場的瓦礫堆中已找到89具遺體，不過，仍有7人下落不明。
這棟大樓由泰國最大建築公司之一的ITD和中國企業集團合資承建。
泰國安全官員上月對現場回收的鋼筋進行初檢測，發現部分使用的金屬為不合格品。",經濟日報,2025-05-15,https://uts.aralego.com/a/77557bde-5b3a-4526-ad2d-6a2339bca758.png
南韓光州市輪胎工廠大火 有毒黑煙沖天、400名員工急撤 | 國際焦點 | 國際,https://money.udn.com/money/story/5599/8746267?from=edn_newestlist_rank,"南韓第二大輪胎製造商錦湖輪胎（Kumho Tire）位於光州市的工廠17日清晨發生大火，造成1名員工與2位消防員受傷，約400名員工緊急疏散，生產作業全面停擺。
YT連結：https://youtu.be/uIK6ZkLpVKc?si=vAisHuwZUUcxQ-KL
韓聯社報導，消防部門當天上午7時11分左右接獲多通報案電話，指光州市光山區的錦湖輪胎工廠發生火災，隨即發布二級應變，動員全市消防人力投入救火。
錦湖輪胎與消防部門均證實，一名20多歲的男性員工受傷，被送往附近的醫院，沒有生命危險。據報導，該員工腿部重傷，一度受困在廠房內，於上午8點59分獲救。另有一名50多歲消防員臉部燒傷，以及一名30多歲消防員則是頭部受傷。
錦湖輪胎約400名值班工人疏散，目前未有其他傷亡報告。一名公司幹部接受電訪時表示，「所有生產將會暫停，直到情況得到控制」。
起火的建築物據了解為用來將輪胎原料生橡膠與化學藥品混合的精煉設施，預熱橡膠的設備因不明原因冒出火花，點燃周圍可燃物。雖然員工嘗試撲救，但火勢迅速擴大，起火的建築開始坍塌，並波及鄰近的建築。由於鄰近建築內存放危險物質，消防人員在持續滅火的同時，也隨時做好撤離的準備。
根據報導，約167名消防員和65輛設備已投入救火行動。儘管位於市中心的工廠陷入火海，黑煙與有毒氣體四散，引發了民眾的不安。消防部門表示，工廠內存放約20噸的生橡膠，影響滅火進度，可能需要幾天時間才能完全撲滅火勢。",經濟日報,2025-05-17,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/05/17/realtime/32061812.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600
韓國光州輪胎工廠大火! 濃煙蔽天 下達國家消防動員令| 國際,https://newtalk.tw/news/view/2025-05-17/971452,"韓國光州市錦湖輪胎光州工廠發生火災，由於現場多是易燃物，一時火勢一發不可收拾，現場濃煙蔽天，韓國消防廳已下達國家消防動員令，目前傷亡不明。
據瞭解，火災發生時間在今 ( 17 ) 日早上 7 時 11 分許。據消防部門推測，火災是從工廠內的橡膠儲藏場所發生的，火勢很難撲滅，因此於當地時間 8 時左右發佈了第二階段應對命令，動員光州所有消防署人力和可用裝備前往現場救火。
現正最夯：中國報導賴清德就職周年不小心說了實話！央視主播脫口稱「兩國」
韓國行政安全部代理部長高綺童當天也下達指示，要求相關部門動員所有可用人力和裝備，全力展開救助和滅火工作。高綺童還指示，在滅火過程中全力保障消防員安全，並要求警方控制和保護火災現場周邊地區的安全。",Newtalk新聞,2025-05-17,https://images.newtalk.tw/resize_action2/800/album/news/972/682839c6f254b.jpg
