代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％,展望
151,摩根印度基金,積極型,美元,印度,國外,股票型,股票型,國外-股票型,無,16.31,0.01,1.06,0.74,2.56,619百萬(美元),1989/11/23,6.95,-7.52,-12.07,-5.49,0.82,18.97,8.54,107.83,受惠廣大的國內市場，印度成長動能強勁。印度市場是以內資資金為主要參與對象，穩定的現金流挹注使印股表現較為穩健也突顯其投資優勢。
165,摩根JPM環球天然資源基金(本基金之配息來源可能為本金),積極型,歐元,全球,國外,天然資源,天然資源,國外-天然資源,年配,9.59,-0.08,0.49,-0.87,-0.14,774百萬(美元),2005/3/14,1.84,2.95,-2.32,6.44,-1.99,6.16,-1.82,125.27,中東地緣緊張情勢升溫推動油價上漲，屬波動性較大之標的，宜謹慎布局。
166,摩根可持續基建基金-配權,積極型,美元,全球,國外,房地產,房地產,國外-房地產,季配,13.1,0.18,0.75,0.38,0.03,11百萬(美元),2005/7/18,3.08,5.1,-5.67,4.96,9.19,6.9,-13.5,40.11,基礎建設股票獲利較不受景氣循環影響，可列為長期投資組合的一環。
169,摩根JPM新興市場債券─歐元對沖A股配現(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,年配,5.53,0.24,0.71,0.17,0.01,"1,264百萬(美元)",1997/3/14,-0.68,1.57,-0.51,1.75,5.75,14,-0.98,7.07,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
173,摩根基金-美國複合收益債券(美元分派)(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,債券型,國外-債券型,年配,5.62,0.24,0.88,0.35,0.04,"4,853百萬(美元)",2000/9/15,0.79,3.07,-0.09,3.16,5.96,6.51,1.22,-2.63,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
174,摩根JPM中國基金(本基金之配息來源可能為本金),積極型,美元,中國,國外,股票型,股票型,國外-股票型,年配,45.23,0.19,1.68,-0.16,-0.11,"3,226百萬(美元)",1994/7/4,0.96,14.29,-6.47,11.21,25.18,-7.4,-13.58,-0.2,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
176,摩根JPM全方位新興市場基金(本基金之配息來源可能為本金),積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,年配,11.79,0.01,0.84,0.05,0.02,4732百萬(美元),1994/4/13,0.45,1.97,-6.77,1.71,0.89,4.55,-5.92,27.57,聯準會維持基準利率不變、主席鮑爾淡化關稅對通膨的影響，帶動新興股市多數走揚，建議可分批布局。
178,摩根JPM環球天然資源基金-美元,積極型,美元,全球,國外,天然資源,天然資源,國外-天然資源,無,12.96,-0.04,0.58,-0.49,-0.07,774百萬(美元),2006/9/12,6.01,8.26,-4.29,10.78,-1.38,5.54,-3.71,124.69,中東地緣緊張情勢升溫推動油價上漲，屬波動性較大之標的，宜謹慎布局。
180,摩根JPM新興市場債券─歐元對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,月配,5.65,0.23,0.73,0.18,0.01,"1,264百萬(美元)",2008/9/17,-0.77,1.7,-0.7,1.89,5.66,13.98,-0.9,6.98,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
181,摩根JPM新興市場本地貨幣債券基金,穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,無,7.99,0.06,0.96,0.29,0.05,958百萬(美元),2008/1/24,0.88,4.01,-2.89,3.69,2.76,6.73,6.34,18.15,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
182,摩根JPM新興市場本地貨幣債券─美月配息(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,8,0.07,0.97,0.34,0.02,958百萬(美元),2009/11/20,0.81,4,-2.93,3.64,2.81,6.68,6.36,18.04,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
183,摩根JPM新興市場債券基金─美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,5.54,0.32,0.71,0.21,0.02,"1,264百萬(美元)",2010/2/22,-0.64,1.94,0.17,2.16,7.55,18.51,6.86,18.18,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
184,摩根JPM環球非投資等級債券基金(歐元)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,歐元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,3.33,0.47,1.01,0.07,0.19,"5,657百萬(美元)",2000/3/24,-0.89,0.46,0.55,0.66,6.85,15,6.94,24.48,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
185,摩根JPM環球非投資等債基金(美元累計)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,3.35,0.61,1.01,0.09,0.2,"5,657百萬(美元)",2008/9/2,-0.77,0.83,1.31,1.04,8.62,19.16,14.11,35.55,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
186,摩根JPM環球非投資等級債基金-美元月現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,3.36,0.61,1.02,0.09,0.07,"5,657百萬(美元)",2008/9/17,-0.78,0.82,1.31,1.04,8.62,19.17,14.13,35.58,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
188,摩根JPM美國複合收益債券(美元)月配現(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,債券型,國外-債券型,月配,5.69,0.23,0.89,0.24,0.02,"4,853百萬(美元)",2010/4/6,0.66,3,-0.2,3,5.78,6.41,1.04,-2.73,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
189,摩根JPM多重收益基金-美元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,季配,5.17,0.29,0.43,0.12,0.15,"18,767百萬(美元)",2012/1/13,-1.62,0.1,-1.05,0.66,6.57,14.94,8.12,37.81,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
190,摩根JPM多重收益基金-歐元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,季配,5.13,0.2,0.42,0.11,0.12,"18,767百萬(美元)",2008/12/11,-1.72,-0.28,-1.83,0.27,4.78,10.7,1.03,26.23,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
191,摩根JPM多重收益基金-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,5.16,0.29,0.43,0.12,0.14,"18,767百萬(美元)",2012/8/31,-1.62,0.1,-1.07,0.66,6.55,14.89,8.04,37.65,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
192,摩根JPM亞太入息基金-美元月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,平衡型,國外-平衡型,月配,6.98,0.26,0.65,0.27,0.28,"1,220百萬(美元)",2012/5/25,0.47,2.64,-2.55,2.39,7.57,13.13,5.62,37.51,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
193,摩根JPM環球非投資等債澳幣月現利率入息(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,3.27,0.56,0.99,0.14,0.01,"5,657百萬(美元)",2013/3/12,-0.77,0.79,1.17,1.07,7.85,16.52,9.44,28.81,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
194,摩根JPM多重收益-澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,5.12,0.24,0.42,0.11,0.01,"18,767百萬(美元)",2013/3/28,-1.63,0.02,-1.34,0.58,5.46,11.71,3.09,30.03,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
196,摩根JPM歐洲小型企業基金(美元),積極型,美元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,11.81,0.18,0.76,-0.35,-0.81,363百萬(美元),2013/10/29,1.93,8.39,1.55,8.41,8.13,18.29,1.31,80.96,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 59 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
197,摩根JPM歐洲動力基金(美元),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,無,14.28,0.15,0.99,0.09,0.21,651百萬(美元),2013/10/23,2.13,13.88,4.51,14.07,8.09,24.84,28.14,110.29,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 9 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
199,摩根JPM日本基金(累計)(盧森堡註冊),穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,無,18.99,0.13,1.04,0.23,5,"2,737百萬(美元)",2006/1/11,0.27,-3.58,3.67,-3.58,8.35,42.14,34.84,100.36,日本經濟維持溫和擴張，在歷經三十年後正走出通貨緊縮困境邁入通膨環境，消費者將增加支出、企業可望擴大資本支出，將創造投資機會，日本股市的每股盈餘獲利穩定且基期偏低，日股相對全球股市折價但卻能提供類似美國市場中科技及成長的元素，加上近年日本公司治理水準提升，預期有利股價表現。此外，評估日本央行將採取溫和漸進的方式回收寬鬆貨幣政策，避免對經濟與金融市場帶來過大衝擊。
01A1,摩根JPM日本基金(美元對沖)累計盧森堡,穩健型,美元,日本,國外,股票型,股票型,國外-股票型,無,19.37,0.19,1.05,0.23,0.77,"2,737百萬(美元)",2013/12/6,0.64,-2.58,5.83,-2.58,13.13,56.29,54.83,130.81,日本經濟維持溫和擴張，在歷經三十年後正走出通貨緊縮困境邁入通膨環境，消費者將增加支出、企業可望擴大資本支出，將創造投資機會，日本股市的每股盈餘獲利穩定且基期偏低，日股相對全球股市折價但卻能提供類似美國市場中科技及成長的元素，加上近年日本公司治理水準提升，預期有利股價表現。此外，評估日本央行將採取溫和漸進的方式回收寬鬆貨幣政策，避免對經濟與金融市場帶來過大衝擊。
01A2,摩根JPM美國基金(澳幣)-A股(累計),穩健型,澳幣,美國,國外,股票型,股票型,國外-股票型,無,13.35,0.21,0.68,-0.18,-0.1,"9,442百萬(美元)",2013/7/22,-5.62,-7.77,7.18,-6.33,10.46,53.4,50.94,143.79,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
01A3,摩根JPM歐洲動力基金(澳幣)-A股累計,穩健型,澳幣,歐洲,國外,股票型,股票型,國外-股票型,無,10.7,0.17,0.66,-0.26,-0.06,651百萬(美元),2013/11/22,-1.26,8.93,7.28,10.26,7.18,24.48,31.78,108.26,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 10 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01A5,摩根JPM多重收益基金-美元對沖累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,5.16,0.29,0.43,0.12,0.28,"18,767百萬(美元)",2012/5/30,-1.61,0.1,-1.06,0.66,6.55,14.9,8.07,37.71,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
01A6,摩根JPM環球醫療科技基金-美元累計,穩健型,美元,全球,國外,健康護理股,健康護理股,國外-健康護理股,無,14.01,-0.12,1.06,-1.22,-5.9,"4,102百萬(美元)",2009/10/2,-4.33,1.22,-9.75,2.3,-5.34,2.84,-5.08,47.22,醫療保健類股對經濟的敏感度相較於其他類股來的低，整體具有防禦特質，惟現階段無明顯之利多。
01A7,摩根JPM亞太股票基金─美元累計,積極型,美元,亞太,國外,股票型,股票型,國外-股票型,無,11.93,0.17,1.06,0.39,0.11,"1,359百萬(美元)",2009/9/9,1.22,3.9,-3.12,3.44,7.78,14.92,2.99,56.02,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
01A8,摩根JPM新興市場債券A澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,債券型,國外-債券型,月配,5.55,0.27,0.72,0.19,0.01,"1,264百萬(美元)",2013/3/12,-0.61,1.86,-0.19,2.05,6.52,15.28,1.33,10.73,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
01A9,摩根JPM歐洲策略股息(美元對沖)A股累(本基金無保證收益),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,無,8.4,0.44,0.54,-0.65,-1.68,574百萬(美元),2014/9/12,-0.21,8.73,9.36,9.95,14.7,36.09,43.35,117.88,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 11 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01B1,摩根JPM歐洲策略股息美元對沖-A股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,月配,8.4,0.44,0.54,-0.65,-1.12,574百萬(美元),2013/11/6,-0.21,8.74,9.37,9.95,14.74,36.22,43.51,118.32,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 12 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01B2,摩根JPM歐洲策略股息(歐元)-A股累計(本基金無保證收益),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,無,8.53,0.42,0.54,-0.67,-2.16,574百萬(美元),2005/2/24,-0.76,8.06,8.24,9.31,13.99,33.67,35.08,105.99,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 13 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01B3,摩根JPM環球股息基金(美元)-A股累計(本基金無保證收益),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,無,8.31,0.13,0.73,0.1,0.23,"6,097百萬(美元)",2007/11/28,-2.21,1.41,-2.77,2.27,4.71,18.26,17.35,107.17,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
01B4,摩根JPM環球股息(美元對沖)-A股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,月配,7.76,0.16,0.7,0.01,0.01,"6,097百萬(美元)",2014/9/15,-2.8,0.48,-1.51,1.5,5.47,21.32,23.19,116.57,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
01B5,摩根JPM亞太入息-澳幣對沖A股月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,亞太,國外,平衡型,平衡型,國外-平衡型,月配,7,0.21,0.64,0.24,0.02,"1,220百萬(美元)",2013/10/7,0.36,2.43,-3,2.18,6.31,9.85,0.26,28.16,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
01B6,摩根日本(日圓)(美元對沖)(累計)香港,積極型,美元,日本,國外,股票型,股票型,國外-股票型,無,22.37,0.17,1.18,0.22,0.1,401百萬(美元),2013/8/1,0.56,-2.85,3.07,-2.85,12.65,54.8,52.01,130.88,日本經濟維持溫和擴張，在歷經三十年後正走出通貨緊縮困境邁入通膨環境，消費者將增加支出、企業可望擴大資本支出，將創造投資機會，日本股市的每股盈餘獲利穩定且基期偏低，日股相對全球股市折價但卻能提供類似美國市場中科技及成長的元素，加上近年日本公司治理水準提升，預期有利股價表現。此外，評估日本央行將採取溫和漸進的方式回收寬鬆貨幣政策，避免對經濟與金融市場帶來過大衝擊。
01B7,摩根JPM歐洲小型企業(美元對沖)累計,穩健型,美元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,7.94,0.22,0.42,-0.77,-1.78,363百萬(美元),2015/10/14,-2.07,2.84,3.73,3.87,7.23,20.2,10.87,93.17,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 60 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01B8,摩根JPM策略總報酬(歐元)A股(累計)(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,無,5.99,0.08,0.04,0.12,0.23,"2,075百萬(美元)",1998/10/23,-2.33,-2.2,1.4,-1.73,2.8,-4.76,-4.73,0.14,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
01B9,摩根JPM策略總報酬(美元對沖)A股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,6,0.15,0.04,0.13,0.2,"2,075百萬(美元)",2015/2/5,-2.24,-1.88,2.06,-1.39,4.27,-1.84,0.78,7.8,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
01C1,摩根JPM美國基金(美元)-A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,年配,12.4,0.15,0.91,0.59,2.51,"9,442百萬(美元)",1988/11/16,-4.2,-6.41,-1.83,-5.08,7.12,44.41,27.18,156.36,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
01C2,摩根JPM歐洲動力基金(歐元)-A股(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,年配,11.19,0.17,0.67,-0.27,-0.08,651百萬(美元),2000/12/8,-1.82,8.36,6.69,9.62,7.49,25.6,30.77,110.89,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 14 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01C3,摩根JPM全球成長(美元)A股(本基金之配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,年配,14.46,0.03,1.21,0.54,0.3,552百萬(美元),1988/11/16,-5.7,-7.75,-5.75,-7.21,1.92,38.84,20.32,76.85,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
01C5,摩根JPM美國小型企業基金(美元)A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,年配,15.91,-0.06,0.88,0.41,1.24,1037百萬(美元),1988/11/16,-5.67,-9.16,-8.24,-7.27,-3.2,5.74,-3.16,76.46,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
01C8,摩根基金-美國科技(美元分派)(本基金之配息來源可能為本金),積極型,美元,美國,國外,股票型,股票型,國外-股票型,年配,26.99,0.05,1.86,1.33,0.67,"7,994百萬(美元)",1997/12/5,-9.87,-11.85,-0.14,-10.9,2.83,51.73,25.02,155.96,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
01C9,摩根JPM美國價值基金(美元)-A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,價值型,國外-股票型,年配,11.53,0.13,0.67,0.24,0.11,4412百萬(美元),2000/10/20,-3.1,-0.58,-1.31,0.87,5.84,24.8,17.41,115.34,聯準會啟動降息，市場對美國實現經濟軟著陸的預期增強，有利股市多頭延續。
01D2,摩根JPM歐洲小型基金(歐元)-A股(本基金之配息來源可能為本金),積極型,歐元,歐洲,國外,中小型股,中小型股,國外-中小型股,年配,8.45,0.22,0.44,-0.71,-0.67,363百萬(美元),1994/4/18,-2,3.14,3.67,4.18,7.56,19.11,3.48,81.83,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 61 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
01D3,摩根JPM拉丁美洲基金(美元)-A股(本基金之配息來源可能為本金),積極型,美元,拉丁美洲,國外,股票型,股票型,國外-股票型,年配,16.17,-0.22,0.81,0.83,0.35,360百萬(美元),1992/5/13,3.82,11.02,-4.42,11.04,-11.62,8.05,-4.28,84.38,目前巴西市場缺乏利多題材，結構性問題短期難有改善，可期待的選舉行情仍要等到明年 10 月，這也意味著在缺乏市場催化劑的情況下，巴西股市較難有發揮空間。
01D5,摩根JPM策略總報酬-澳幣對沖A股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,無,6.01,0.13,0.04,0.16,0.02,"2,075百萬(美元)",2016/1/20,-2.24,-1.85,2.01,-1.37,3.91,-3.1,-1.61,4.81,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
01D9,摩根JPM多重收益基金A-美對沖利率月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,5.11,0.3,0.42,0.12,0.01,"18,767百萬(美元)",2018/3/26,-1.69,0.01,-1.16,0.62,6.53,14.84,7.99,37.4,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
